Key	English	Welsh	Comments
dashboard.viewchangedetails.children-childcare.title	Children and childcare		No Welsh translation found
dashboard.viewchangedetails.yourchilcare.subtitle	Childcare		No Welsh translation found
page.tcs.children.changeachildname-continue	Continue		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p2.AUTONOCHANGES	You have checked {0} declarations.		No Welsh translation found
page.tcs.change.childcare-how-much-normally-you-pay.error-empty	Enter how much you pay {0} {1}		No Welsh translation found
page.tcs.changes_other.stopped.li9	Income Support		No Welsh translation found
page.tcs.children.add-a-child.ringus.intend_to_stay_school.p1	You said {0} did not intend to stay in education or training after leaving school.		No Welsh translation found
page.tcs.changes_other.stopped.li12	Pension Credit		No Welsh translation found
page.tcs.children.add-a-child.when-did-child-start-getting-these-benefits.title	Date started getting benefits		No Welsh translation found
page.address-lookup.what-is-your-address.service_title	What is your address?		No Welsh translation found
page.tcs.workandhours.startajobemployed.li3	number of hours usually worked each week		No Welsh translation found
page.tcs.workandhours.changenumberofhours.dateofchange.futuredate	Enter a date that is today or in the past		No Welsh translation found
page.tcs.children.training.istrainingpartofthisjob	Will the training be part of their job or will they be paid to do it?		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-incapacitated.p1	You cannot claim childcare costs because {0} is not:		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.p3	Seasonal workers		No Welsh translation found
page.tcs.children.change-childs-details-is-certified-blind.header	Is {0} certified blind?		No Welsh translation found
pages.tcs.workandhours.deductions.paternityAmount.toMuch	Enter a valid amount for Statutory Paternity Pay		No Welsh translation found
page.tcs.children.disability.does-get-dla-care-component.yes-or-no.error-empty	Select yes if {0} gets Disability Living Allowance		No Welsh translation found
page.tcs.workandhours.change-to-employment.link.start_job	Started an employed job		No Welsh translation found
page.tcs.workandhours.deductions.partner.giftAidAmount.helptext2	For example, if they pay &pound;100 to charity during the tax year, enter &pound;125.		No Welsh translation found
page.tcs.children.add-a-child.education-and-training.nameofcourse	Name of course or training		No Welsh translation found
validation.upToAllowedCharacters	Enter a {0} up to 35 characters		No Welsh translation found
page.tcs.addchildcare.provider.details.name.helptext	Childcare provider name		No Welsh translation found
pages.tcs.workandhours.deductions.sharedParentalAmount.toMuch	Enter a valid amount for Shared Parental Pay		No Welsh translation found
page.tcs.children.add-a-child.did_child_intend_to_stay.training.header	Did {0} intend to stay in education or training after leaving their course?		No Welsh translation found
page.renewals.renewals_homepage.your_details.heading.joint	You and your partner’s details		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.AUTONOCHANGES	You can report changes until <span class="no-wrap">31 July {0}.</span>		No Welsh translation found
page.tcs.workandhours.self-employed-summary.esimtatedSelfEmployedProfit	Estimated self-employed profit		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-will-you-pay-a-week	How much you pay {0} a week (rounded up)		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.p1	Term-time only workers		No Welsh translation found
page.changeworkinghours.cantcontinue.text.b4	have been on strike for longer than 10 days		No Welsh translation found
page.tcs.children.education.lastname.maxlength	Last name must be between 1 and 256 characters		No Welsh translation found
partial.tcs.excluded_users.p1_lede	We cannot deal with your tax credits claim online.		No Welsh translation found
error.number	Use whole numbers only, not decimals or other characters		No Welsh translation found
page.tcs.reportdeath.nmvp.contactname.empty	Enter the name of who we can contact if we need more information		No Welsh translation found
page.tcs.children.add-a-child.ineligible.button	Go back to children and childcare		No Welsh translation found
page.tcs.childcare.provider.details.addressline2.helptext	Address line 2		No Welsh translation found
page.tcs.workandhours.startajobhavebenefitsended.benefits.mig	Has your Pension Credit ended or do you expect it to end?		No Welsh translation found
page.tcs.children.add-a-child.confirm-end-education-answers-benefits-before-start-date-accessibility	 if {0} started getting the benefits before {1}		No Welsh translation found
page.tcs.workandhours.startajobemployed.addressLine-invalid	Address lines must be between 1 and 35 characters and only include letters a to z, numbers, spaces and these symbols , . ’ ( ) & - /		No Welsh translation found
page.tcs.personal.addresschange.partner.service_title	Change your partner’s address		No Welsh translation found
page.tcs.fallout.2fa-dropout.p1	You can only use the Tax Credits Service if you have a mobile phone or have access to one.		No Welsh translation found
page.tcs.workandhours.employed-summary.partner.hours.vh	how many hours a week {0} normally works at {1}		No Welsh translation found
page.tcs.children.educationandtraining.datestartedfulltimenonadveducation	If the child is 16, 17 or 18, when did they start the course or training? If the child is 19, when were they offered a place on the course or training?		No Welsh translation found
page.tcs.addchildcare.70-days-or-less.error-empty	Select yes if the childcare did or will end you did or will stop paying {0} before {1}		No Welsh translation found
page.tcs.children.add-a-child.will-child-study-an-approved-course.required	Select yes if {0} will study an approved course		No Welsh translation found
page.tcs.children.add-a-child.does-child-do-approved-training.error-empty	Select yes if {0} does or will be doing an approved training course		No Welsh translation found
page.tcs.children.connexionschange.lastname	What is their last name?		No Welsh translation found
page.renewals.make_more_changes.p	Do you need to report any more changes to the details shown in your renewal paper pack for your {0} claim between <nobr>{1}</nobr> and <nobr>{2}</nobr>?		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.weeksBetween.value	{0}		No Welsh translation found
page.tcs.workandhours.profitmade.label.helptext	How much self-employed profit		No Welsh translation found
page.tcs.workandhours.deductions.pensionsAmount.helptext2	For example, if you expect to pay £100 a month, enter £1,200.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.service_title	Estimated earnings		No Welsh translation found
tcs.address.line.3	Address line 3		No Welsh translation found
page.tcs.workandhours.employed-summary.how-many-jobs-partner	How many jobs does {0} have now?		No Welsh translation found
page.tcs.workandhours.startajobhavebenefitsended.benefits.is	Has your Income Support ended or do you expect it to end?		No Welsh translation found
page.tcs.childcare.childDisability.date_certified_blind	Date child was certified blind		No Welsh translation found
page.tcs.continuing-with-education-course.alternativeCourse	Course details		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.previousEmployerName	What was the name of your previous employer?		No Welsh translation found
page.tcs.no_tax_credits_service.new_user_p2	<a href={0} id={1} target="blank">Find out if you qualify for tax credits</a> (opens in a new window or tab).		No Welsh translation found
page.tcs.household_breakdown_acknowledgement.link	find out if you qualify for tax credits and order a claim form		No Welsh translation found
page.tcs.workandhours.endedajob.employerName.empty	Enter the name of the employer or “Self-employed” and the type of work you did		No Welsh translation found
page.tcs.children.add-a-child.education-and-training.firstname	First name(s)		No Welsh translation found
page.tcs.workandhours.changeworkinghours.partner.effectivefrom.header	When did {0}’s new working hours start?		No Welsh translation found
page.tcs.children.addchild.readdachild.title	Who do you want to add to your claim?		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.amount	Amount		No Welsh translation found
page.tcs.workandhours.deductions.partner.service_header	Do you need to take any of these deductions off {0}’s total estimated earnings for the tax year?		No Welsh translation found
page.tcs.children.add-a-child.ineligible.19.p2	 You can only add a child to your claim if they accepted their place on the course before their 19th birthday.		No Welsh translation found
page.tcs.workandhours.startajob.totalNumberOfJob.errors	Total number of jobs must be a whole number between 1 and 9		No Welsh translation found
page.tcs.workandhours.endedajob.partner.totalNumberOfJobs	After ending this job, how many jobs did your partner have?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.GENERIC	Your renewal for {0}		No Welsh translation found
page.tcs.back	Back		No Welsh translation found
page.tcs.workandhours.changeworkinghours.amount.b4	If your hours are not the same every week, or you have a zero or variable hour contract, enter the number of hours you expect to work. You will need to tell us if this changes.		No Welsh translation found
validation.phone.invalidFormat.example	, like 01642&#160;123&nbsp;456, 07777&nbsp;777&nbsp;777 or +33&nbsp;1&nbsp;23&nbsp;45&nbsp;67&nbsp;88		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.weeksBetween.value	{0}		No Welsh translation found
page.tcs.children.removeachild.firstname.hint	The child’s first and middle names should be as they are shown on their birth certificate.		No Welsh translation found
page.tcs.children.add-a-child.connexions-change.dateofbirth	Date of birth		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.AUTONOCHANGES	Check declaration		No Welsh translation found
page.tcs.workandhours.amendajob.employerAddress	Employer address		No Welsh translation found
page.tcs.children.add-a-child.ineligible.armed-forces.u2	doing or going to do an approved training course		No Welsh translation found
page.tcs.children.connexionschange.summary.change-this	Edit over 16s careers service details		No Welsh translation found
page.tcs.workandhours.employer_details.name-empty	Enter the employer’s name		No Welsh translation found
page.renewals.renewals_homepage.bank_details.heading	Bank or building society details		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.NOTSTARTED.multi	Start your renewal		No Welsh translation found
page.tcs.addchildcare.have-you-told-you-work-16-hours-or-more.yes-or-no.error-empty	Select yes if you told us that you work 16 hours or more a week		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.how-many-time-a-year	How many times a year do you pay {0} {1}		No Welsh translation found
tcs.address.line.4	Address line 4		No Welsh translation found
page.tcs.changes_other.stopped.li10	Jobseeker’s Allowance (contributions-based)		No Welsh translation found
page.tcs.children.add-a-child-is.text	is		No Welsh translation found
page.tcs.change-bank-details.where_will_i_find.online_banking_account	online banking account		No Welsh translation found
page.tcs.renewals.changes_other.overseas.partner	Enter details about you, your partner, or both of you leaving the UK permanently or for more than 8 weeks		No Welsh translation found
page.tcs.personal.change_telephone_number.continue	Continue		No Welsh translation found
page.tcs.workandhours.earnings_calculator.expectedEndDate	When will this work end?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.amountPaid.invalid	How much you get paid must be an amount of money		No Welsh translation found
page.tcs.workandhours.startajobhadotherpreviousjobs.partner.previousJobsText	You told us about {0}.		No Welsh translation found
page.tcs.personal.change_partner_name.nino_error_required	Enter your partner’s National Insurance number		No Welsh translation found
page.tcs.children.add-a-child.dygd.title	Does the child get one of these disability benefits?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.amountPaid.required	Enter how much {0} got paid		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-you-pay.h1	How much did or will you pay {0} between {1} and {2}?		No Welsh translation found
page.tcs.workandhours.incomechangeselfemployedprofit	Self-employed profits		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.get-paid	You get paid {0}.		No Welsh translation found
page.children.landing.training.change-this	Edit young person’s details		No Welsh translation found
page.tcs.workandhours.previousworkenddate.title	When did your job end?		No Welsh translation found
site.sign-out	Sign out		No Welsh translation found
page.tcs.addchildcare.provider.address.postcode.error-empty	Enter the childcare provider’s postcode		No Welsh translation found
page.tcs.children.add-a-child.connexions-change.lastname	Last name		No Welsh translation found
page.tcs.childcare.how.much.cost.change.title	How much do you pay them a week?		No Welsh translation found
page.tcs.children.changeachilddob.changedateofbirth.future	Enter a correct date of birth that is today or in the past		No Welsh translation found
page.tcs.fallout.iv-identity-failure-dropout.p3	Tax Credit Helpline		No Welsh translation found
page.tcs.children.add-a-child.clwy.li4	typically		No Welsh translation found
page.tcs.childcare.confirm-your-answers.edit	Edit		No Welsh translation found
page.tcs.workandhours.self-employed-summary.edit-start-work	when your new job started		No Welsh translation found
page.tcs.workandhours.endedajob.you.employerName	What was the name of your employer?		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.start-date-ineligible.line1	You said you are going to start paying the childcare provider on {0}.		No Welsh translation found
pages.tcs.workandhours.deductions.workRelatedExpensesAmount.toMuch	Enter a valid amount for work-related expenses		No Welsh translation found
page.tcs.fallout.2fa-dropout.title	You need 2-step verification to use this service		No Welsh translation found
page.tcs.childcare.changechildcare.no-eligible-more-than-three-different-amounts.renewals.text-to-change	to change your childcare costs.		No Welsh translation found
page.tcs.personal.changeNonUkAddress.edit	your address		No Welsh translation found
page.tcs.personal.live.in.the.uk.error	Select yes if you live in the UK		No Welsh translation found
page.tcs.personal.addresschange.filter.empty	Enter a house name or number		No Welsh translation found
page.tcs.renewals.changes_other.stopped.li3	Bereavement Allowance		No Welsh translation found
page.renewals.renewals_homepage.your_details.change_telephone_number	Change your telephone numbers		No Welsh translation found
dashboard.viewchangedetails.you.employment.selfemployedearnings.label	Estimated annual self-employed profit		No Welsh translation found
page.tcs.addchildcare.provider.address.line1.error-empty	Enter the first line of the childcare provider’s address		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-incapacitated.line3	in prison or in custody waiting or sentence		No Welsh translation found
page.tcs.workandhours.self-employed-summary.howmanyjobs	How many jobs do you have now?		No Welsh translation found
page.tcs.workandhours.previousworkenddate.partner.header	When did {1}’s job at {0} end?		No Welsh translation found
page.tcs.children.add-a-child.ineligible.courseInFuture.intention.p1	You said {0} starts their course on {1}.		No Welsh translation found
page.tcs.workandhours.employed-summary.partner.start-work.vh	when {0} started their new job		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.calculatedEstimatedEarnings.value	{0}		No Welsh translation found
page.tcs.children.add-a-child.dygd.li1	Disability Living Allowance		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.p3	Seasonal workers		No Welsh translation found
page.tcs.workandhours.endedajob.totalNumberOfJobs.empty	Enter how many jobs you had		No Welsh translation found
page.tcs.addchildcare.provider.address.postcode.invalid	Enter a valid postcode, like AA1 1AA		No Welsh translation found
page.tcs.workandhours.amendajob.you.jobStartedDate	When did your working hours change?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.AUTOCLOSE	Your renewal for {0}		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.service_header.visuallyhidden	 how much {1} gets paid at {0}		No Welsh translation found
page.tcs.workandhours.previousworkenddate.partner.title	When did your partner’s job end?		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.li4	if it is employment or self-employment		No Welsh translation found
page.tcs.children.changeachilddob.service_title	Correct child’s date of birth		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p2.NOTSTARTED	You must complete all declarations to renew your tax credits.		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.AUTONOTSTARTED	Your renewal for {0}		No Welsh translation found
page.tcs.children.add-a-child.end-education-does-everyone-live-in-the-uk.title	Does everyone on your claim live in the UK?		No Welsh translation found
page.tcs.personal.change_partner_name.last_name	Last name		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.amounPaid.value	{0} {1}		No Welsh translation found
page.tcs.children.change-childs-details.end-education-or-training.link	End education or training		No Welsh translation found
page.tcs.children.change-childs-details-get-afip.header	Does {0} get Armed Forces Independence Payment?		No Welsh translation found
page.tcs.workandhours.deductions.partner.fees	Fees to professional bodies		No Welsh translation found
page.renewals.renewals_homepage.your_details.start_relationship_status	Start relationship		No Welsh translation found
page.tcs.workandhours.deductions.partner.pensionsAmount.helptext1	Enter the total amount they expect to pay into their stakeholder pension.		No Welsh translation found
page.tcs.addchildcare.ineligible-ended-over-a-month-ago.p2	You can only add a childcare provider to your claim if you have not started paying them or you stopped paying them in the last month.		No Welsh translation found
page.tcs.renewals.changes_other.started.li11	Jobseeker’s Allowance (income-based)		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.blank.selfemployed	Enter how many self&#8209;employed hours a week {0} normally works		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.service_title	How many hours a week does your partner normally work?		No Welsh translation found
page.tcs.children.add-a-child.ineligible.title	You cannot add the child to your claim		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.service_title	How many hours a week did your partner normally work?		No Welsh translation found
dashboard.viewchangedetails.bank_details.change_bank_account	Change bank account		No Welsh translation found
page.tcs.workandhours.incomechangeselfemployedprofit.you.service_title	How much self-employed profit do you expect to make between {0} and {1}?		No Welsh translation found
page.tcs.changes_other.started.li9	Income Support		No Welsh translation found
page.tcs.workandhours.changenumberofjobs.you.dateofchange	When did your number of jobs change?		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.weeksBetween.label	Weeks between {0} and <span class="one-liner">{1}</span>		No Welsh translation found
page.tcs.start.list.item4	you want to add a child to your claim		No Welsh translation found
page.tcs.childcare.changechildcare.weekly-calculation.weekly-rounded-up	How much you pay a week (rounded up)		No Welsh translation found
page.tcs.workandhours.alljobs.intro.b1	the job already on your claim		No Welsh translation found
page.tcs.changes_other.stopped.li5	Disability Living Allowance		No Welsh translation found
page.tcs.children.add-a-child.when-did-child-leave-course-title	Date left course		No Welsh translation found
page.tcs.workandhours.isthispermanentwork.partner.title	Is this a permanent job?		No Welsh translation found
page.tcs.workandhours.changeworkinghours.partner.amount.p2	How to work out {0}’s normal hours		No Welsh translation found
page.tcs.workandhours.changenumberofhours.summary.change-this	Edit working hours		No Welsh translation found
page.tcs.children.educationandtraining.firstname.required	Enter the child’s first and middle names		No Welsh translation found
dashboard.your-tax-credits.your-account.title	People on your claim		No Welsh translation found
page.tcs.workandhours.startajobemployed.jobWithinTheUk-empty	Select yes if the job was or is based in the United Kingdom		No Welsh translation found
page.tcs.workandhours.stillhaveajob.partner.title	Does your partner still have their job?		No Welsh translation found
page.tcs.workandhours.endedajob.you.totalWeeklyHours.errorInvalid	How many hours you worked in a week in all jobs including self-employment must be a whole number		No Welsh translation found
page.tcs.reportdeath.nmvp.telephone.required	Enter a valid telephone number		No Welsh translation found
dashboard.your-tax-credits.make-changes.li1.a	change personal details		No Welsh translation found
page.tcs.children.add-a-child.education-course-startdate-confirm.question	{0} {1} the first date the course {2} available after {3} left their course?		No Welsh translation found
page.tcs.workandhours.employer_details.service_title	What is the name and address of your new employer?		No Welsh translation found
page.renewals.renewals_homepage.other.change_report_death	Someone on your claim has died		No Welsh translation found
page.renewals.renewals_homepage.leading_paragraph	Check the information in the annual review for this period is correct, and tell us if anything changed during this time.		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.end_a_job_self_employed_you	You ended self-employed work		No Welsh translation found
page.tcs.children.add-a-child.confirm-answers.name	What is their name?		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.change_child_name	You changed a child&rsquo;s name		No Welsh translation found
page.tcs.childcare.remove.provider.children-names-and-dobs.title	Which children did they care for?		No Welsh translation found
every_calendar_month	Every calendar month		No Welsh translation found
page.tcs.children.changeachildname.firstname.error	Enter the child’s current first and middle names		No Welsh translation found
page.tcs.children.add-a-child.ringus.registered_with_connexions.button	Go back to children and childcare		No Welsh translation found
page.tcs.workandhours.profitmade.general.label	Self-employed profit made between {0} and {1}		No Welsh translation found
page.tcs.addchildcare.have-you-added-a-child.yes-or-no.error-empty	Select yes if you added a child who you can claim childcare costs for to your claim?		No Welsh translation found
page.tcs.addchildcare.have-you-added-a-child.line2	receives Personal Independence Payment or Armed Forces Independence Payment		No Welsh translation found
page.tcs.workandhours.selfemployedworkenddate.partner.header	When did {0}’s self&#8209;employed work end?		No Welsh translation found
page.tcs.does-child-get-benefits.li3	Income Support		No Welsh translation found
page.tcs.children.changeachildname.dateofbirth.future	Date of birth must be today or in the past		No Welsh translation found
page.tcs.childcare.provider.children-names-and-dobs.error-length	The names and dates of birth of the children who are cared for by this provider must be 255 characters or less		No Welsh translation found
page.tcs.children.add-a-child.ringus.intend_to_stay_course.h1	You cannot use the online service to add {0} to your claim		No Welsh translation found
page.tcs.children.add-a-child.ringus.applied_to_army.h1	You cannot use the online service to add {0} to your claim		No Welsh translation found
page.tcs.childcare.changechildcare.not-suitable-no-eligible-different-amounts.new-link	contact the Tax Credit Helpline		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.overtime	You must include regular overtime but not unpaid breaks and enter whole hours only. For example, if they normally worked 22.5 hours a week, enter 22.		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.not-suitable-joint-claim.line1	working for 16 hours or more a week		No Welsh translation found
dashboard.viewchangedetails.relationshipstatus	Relationship status		No Welsh translation found
page.tcs.change.childcare-how-much-you-pay.title	How much do you normally pay the childcare provider?		No Welsh translation found
page.tcs.cannot_use_tax_credits_service.p1	Find out if you can get tax credits		No Welsh translation found
page.tcs.children.add-a-child.education-school-startdate-confirm.title	{0} {1} the first date the course {2} available after the child left school?		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-partner-no-wtc.p2	You can claim childcare costs up to the Saturday after 1 September following a child’s 15th birthday or 16th birthday if the child either:		No Welsh translation found
page.tcs.children.add-a-child.ringus.intend_to_stay_course.p2	<a href="https://www.gov.uk/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries" target="_blank">Call the Tax Credit Helpline (opens in a new window or tab)</a> to add {0} to your claim.		No Welsh translation found
page.tcs.addchildcare.provider.address.line2.invalidLength	Address line 2 must be 35 characters or less		No Welsh translation found
page.tcs.workandhours.changeemployedearnings.you.summary_title	Change estimated earnings		No Welsh translation found
page.tcs.renewals.changes_other.started.li4	Carer’s Allowance		No Welsh translation found
page.tcs.start.list.item1	your contact details have changed		No Welsh translation found
page.changeworkinghours.partnercantcontinue.header	When to make changes to {0}’s working hours		No Welsh translation found
page.tcs.children.add-a-child.connexions-change.datetheyleft	Date they left		No Welsh translation found
page.tcs.renewals.changes_other.li1	benefits stopped or started		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.partner.p5	Not sure about their normal hours		No Welsh translation found
page.tcs.your_children.childcare.change	Change childcare		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.p5	Employment agency workers		No Welsh translation found
page.tcs.change-bank-details.service_title	Change bank or building society details		No Welsh translation found
page.tcs.children.educationandtraining.datestoppedfulltimenonadveducation	Date stopped over 16 education or training		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.totalWeeklyHours	After starting this job, how many hours did you work a week in all jobs including employed jobs?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.add-a-childcare-provider-to-your-claim	Do you want to add a childcare provider to your claim?		No Welsh translation found
page.tcs.change-bank-details.not_selected_answer_if_account_held_in_uk	Select yes if the new account is held in the United Kingdom		No Welsh translation found
page.tcs.workandhours.previous_typeofwork.partner.noneSelected	Select if {0} was employed or self-employed in their job		No Welsh translation found
page.tcs.children.add-a-child.last-name	Last name		No Welsh translation found
page.tcs.childcare.changechildcare.no-eligible-more-than-three-different-amounts.renewals.text	Continue renewing your tax credits. When you have finished,		No Welsh translation found
page.tcs.workandhours.startajobemployed.employerName.invalid	Your entry for employer name can only include European characters		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.FINALISED	We have finished processing your renewal		No Welsh translation found
fostering.authority	Do you get any money for them from the Local Authority?		No Welsh translation found
page.tcs.children.educationandtraining.firstname.hint	The child’s first and middle names should be as they are shown on their birth certificate.		No Welsh translation found
page.tcs.addchildcare.childcare-how-many-times-a-year-do-you-pay-less-than-1.error.invalid	The number of times you pay {0} a year must be more than 0		No Welsh translation found
page.tcs.workandhours.previous_employer_name.partner.service_title	What was the name of your partner’s employer?		No Welsh translation found
page.tcs.Addchildcare.not-suitable-no-eligible-do-not-pay-for-costs.p1	You said you do not pay the childcare provider with your own money.		No Welsh translation found
page.tcs.childcare.summary.check-your-change-add-childcare-summary.page.how-much-you-pay	How much do you pay them in a week?		No Welsh translation found
page.tcs.childcare.childDisability.is_certified_blind	Is child certified blind		No Welsh translation found
page.tcs.renewals.changes_other.overseas.li2	are no longer allowed to live in the UK		No Welsh translation found
page.tcs.workandhours.startajobemployed.li7	total number of jobs you or your partner now have		No Welsh translation found
dashboard.viewchangedetails.main.title	View and change details		No Welsh translation found
page.tcs.children.add-a-child.dyrm.title	Do you get money from your local council for {0}?		No Welsh translation found
page.tcs.children.change-childs-details-is-certified-blind-hidden-edit	if {0} is certified blind		No Welsh translation found
page.tcs.children.educationandtraining.summary.change-this	Edit over 16s education or training details		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.service_title	How much did your partner get paid?		No Welsh translation found
dashboard.viewchangedetails.bank_details.missing_payment	dashboard.viewchangedetails.bank_details.missing_payment=If you think you have missed a payment, check both your old and new accounts to see if the payment has been made before contacting the Tax Credits Service.		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.edit-previous-employer-name	the name of your previous employer {0}		No Welsh translation found
pages.tcs.workandhours.deductions.statutoryAdoption.toMuch	Enter a valid amount for Statutory Adoption Pay		No Welsh translation found
page.tcs.children.education.helptext	Your Child Tax Credit will stop on 31 August after your child’s 16th, 18th or 19th birthday. You can continue to get Child Tax Credit if they go into approved education.		No Welsh translation found
page.tcs.personal.has_relationship_changed.link.text	call the tax credit helpline (opens in a new window or tab)		No Welsh translation found
children.months	 {0} months old		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.weeksBetween.label	Weeks between <span class="one-liner">{0}</span> and <span class="one-liner">{1}</span>		No Welsh translation found
page.tcs.children.changeachilddob.changedateofbirth.future-error	Enter a date of birth that is today or in the past		No Welsh translation found
page.tcs.workandhours.startajob.postcode	Postcode		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.AUTONOTSTARTED	Check declaration		No Welsh translation found
children.years	 {0} years old		No Welsh translation found
page.tcs.renewals.children.add-a-child.title	Add a child to your claim		No Welsh translation found
dashboard.payment-summary.working-tax-credit	Working Tax Credit		No Welsh translation found
page.tcs.children.add-a-child.ineligible.18Or19NotInTraining.u2	doing or going to do an approved training course		No Welsh translation found
page.tcs.workandhours.employed-summary.earnings-minus-deductions-title	Your estimated earnings for the tax year, 6&nbsp;April&nbsp;{0} to 5&nbsp;April&nbsp;{1}		No Welsh translation found
page.tcs.children.add-a-child.confirm-answers.did-child-accept-course-before-19th-birthday	Did {0} accept a place on the course before {1}?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.radioAnnually	Year		No Welsh translation found
page.tcs.workandhours.alljobs.intro.partner.b2	any jobs they have had since {0}		No Welsh translation found
page.tcs.children.changeachildwherelive.summary.conf-ans1	Where does {0} live?		No Welsh translation found
childcare_partial_alert_h2	Keep your details up to date		No Welsh translation found
dashboard.viewchangedetails.yourpartner.left_household	{0} has left the household		No Welsh translation found
page.tcs.workandhours.changeworkinghours.effectiveDateIsInPast	The date must be in the past		No Welsh translation found
page.tcs.children.add-a-child.child.will.be.on.your.claim.until.31.august.12.hours.p2	You can only claim tax credits for {0} after 31&nbsp;August&nbsp;{1} if they will study for an average of more than 12 hours a week.		No Welsh translation found
page.tcs.workandhours.previous_employer_name.partner.empty	Enter the name of {0}’s employer		No Welsh translation found
page.tcs.continuing-with-education-course.alternativeCourse.helpId	alternativeCourseHelpText		No Welsh translation found
page.tcs.children.training.stayingintheuk	Are they staying in the United Kingdom?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.when-start-paying-your-childcare-provider	When did or will you start paying your childcare provider?		No Welsh translation found
page.tcs.personal.your.address.country.helptext	Country		No Welsh translation found
page.tcs.children.add-a-child.did-child-accept-place-on-course-before-19	Did {0} accept a place on the course before {1}?		No Welsh translation found
page.tcs.addchildcare.is-childcare-when-childcare-end-ineligible.title-bar	You cannot add the childcare provider to your claim		No Welsh translation found
page.tcs.workandhours.startajobemployed.jobWithinTheUk	Was this job in the United Kingdom?		No Welsh translation found
page.tcs.wtc.payments.ga.paid-early-payment-event-label	Paid early		No Welsh translation found
page.tcs.addchildcare.70-days-or-less.title-bar	Did or will you stop paying the childcare provider before {0}?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.amountPaid.hint	Do not take off tax or National Insurance.		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.multiple.ftnae.sept.p1	We are currently working out your tax credits payments because of your children’s education or training.		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.amountPaid.range	How much {0} gets paid must be 9,999,999,999.99 or less		No Welsh translation found
page.tcs.change_telephone_number.internationalPhone	If you enter a UK mobile number you will get text messages about your claim.		No Welsh translation found
page.tcs.workandhours.hasmadeprofit.partner.invalid	Select yes if {0} expects to make a profit between {1} and {2}		No Welsh translation found
page.tcs.childcare.remove.provider.details.title	Childcare provider you stopped using		No Welsh translation found
partial.tcs.service_unavailable.p1	We are currently experiencing some technical problems with the tax credits service, please try again later.		No Welsh translation found
